step,lr,momentum
1,6.666666666666667e-05,0.9
2,0.00013333333333333334,0.9
3,0.0002,0.9
4,0.0002666666666666667,0.9
5,0.0003333333333333333,0.9
6,0.0004,0.9
7,0.00046666666666666666,0.9
8,0.0005333333333333334,0.9
9,0.0006,0.9
10,0.0006666666666666666,0.9
step,lr,momentum
1,6.666666666666667e-05,0.9
2,0.00013333333333333334,0.9
3,0.0002,0.9
4,0.0002666666666666667,0.9
5,0.0003333333333333333,0.9
6,0.0004,0.9
7,0.00046666666666666666,0.9
8,0.0005333333333333334,0.9
9,0.0006,0.9
10,0.0006666666666666666,0.9
11,0.0007333333333333333,0.9
12,0.0008,0.9
13,0.0008666666666666667,0.9
14,0.0009333333333333333,0.9
15,0.001,0.9
16,0.0009996585300715115,0.9
17,0.0009986345866928941,0.9
18,0.000996929568447637,0.9
19,0.000994545804185573,0.9
20,0.000991486549841951,0.9
21,0.0009877559839902184,0.9
22,0.0009833592021345938,0.9
23,0.0009783022097502204,0.9
24,0.0009725919140804099,0.9
25,0.0009662361147021779,0.9
26,0.0009592434928729616,0.9
27,0.0009516235996730644,0.9
28,0.0009433868429600309,0.9
29,0.0009345444731527642,0.9
30,0.0009251085678648072,0.9
31,0.0009150920154077753,0.9
32,0.0009045084971874737,0.9
33,0.0008933724690167416,0.9
34,0.0008816991413705516,0.9
35,0.0008695044586103295,0.9
36,0.0008568050772058762,0.9
37,0.0008436183429846313,0.9
38,0.0008299622674393614,0.9
39,0.0008158555031266255,0.9
40,0.0008013173181896282,0.9
41,0.0007863675700402526,0.9
42,0.0007710266782362247,0.9
43,0.0007553155965904535,0.9
44,0.0007392557845506433,0.9
45,0.0007228691778882692,0.9
46,0.0007061781587369518,0.9
47,0.0006892055250211552,0.9
48,0.0006719744593169641,0.9
49,0.0006545084971874737,0.9
50,0.0006368314950360416,0.9
51,0.0006189675975213093,0.9
52,0.0006009412045785051,0.9
53,0.000582776938092065,0.9
54,0.0005644996082651017,0.9
55,0.000546134179731651,0.9
56,0.000527705737457985,0.9
57,0.000509239452479565,0.9
58,0.0004907605475204352,0.9
59,0.00047229426254201504,0.9
60,0.00045386582026834903,0.9
61,0.0004355003917348985,0.9
62,0.000417223061907935,0.9
63,0.000399058795421495,0.9
64,0.00038103240247869074,0.9
65,0.0003631685049639586,0.9
66,0.00034549150281252633,0.9
67,0.0003280255406830359,0.9
68,0.00031079447497884486,0.9
69,0.00029382184126304836,0.9
70,0.0002771308221117309,0.9
71,0.0002607442154493568,0.9
72,0.0002446844034095466,0.9
73,0.00022897332176377528,0.9
74,0.00021363242995974742,0.9
75,0.00019868268181037185,0.9
76,0.00018414449687337466,0.9
77,0.0001700377325606388,0.9
78,0.00015638165701536866,0.9
79,0.00014319492279412388,0.9
80,0.0001304955413896705,0.9
81,0.00011830085862944851,0.9
82,0.00010662753098325839,0.9
83,9.549150281252633e-05,0.9
84,8.490798459222476e-05,0.9
85,7.489143213519301e-05,0.9
86,6.545552684723583e-05,0.9
87,5.6613157039969057e-05,0.9
88,4.8376400326935575e-05,0.9
89,4.075650712703849e-05,0.9
90,3.376388529782215e-05,0.9
91,2.7408085919590266e-05,0.9
92,2.1697790249779635e-05,0.9
93,1.6640797865406288e-05,0.9
94,1.22440160097817e-05,0.9
95,8.513450158049108e-06,0.9
96,5.454195814427021e-06,0.9
97,3.0704315523631954e-06,0.9
98,1.3654133071059894e-06,0.9
99,3.4146992848854695e-07,0.9
100,0.0,0.9
