step,loss,loss/mean,loss/std,lr,momentum,r2squared
1,2.7089252769947056,2.7089252769947056,0.008032885695423661,0.0,0.9,-1.9325976371765137
2,0.7800538732359807,0.7800538732359807,0.5810423955380215,6.666666666666667e-05,0.9,0.15548014640808105
3,0.14562550125022733,0.14562550125022733,0.02008920468286704,0.00013333333333333334,0.9,0.8423444032669067
4,0.11222272925078872,0.11222272925078872,0.0032883799477888428,0.0002,0.9,0.8785071969032288
5,0.10820894284794731,0.10820894284794731,0.0021711057151409256,0.0002666666666666667,0.9,0.8828629851341248
6,0.10760514003535113,0.10760514003535113,0.0026131097868316434,0.0003333333333333333,0.9,0.8835021257400513
7,0.10722768586128952,0.10722768586128952,0.0023957543401883774,0.0004,0.9,0.8839316964149475
8,0.10695124417543413,0.10695124417543413,0.002990360166122465,0.00046666666666666666,0.9,0.8841978907585144
9,0.10627535823732616,0.10627535823732616,0.0023816118002571354,0.0005333333333333334,0.9,0.8849680423736572
10,0.10481332335621117,0.10481332335621117,0.0021361751498097745,0.0006,0.9,0.886538028717041
step,loss,loss/mean,loss/std,lr,momentum,r2squared
1,2.6879347860813136,2.6879347860813136,0.004727579943887728,0.0,0.9,-1.909874439239502
2,0.7825600324819486,0.7825600324819486,0.5757626729168572,6.666666666666667e-05,0.9,0.15276682376861572
3,0.15218276313195622,0.15218276313195622,0.023489667655337998,0.00013333333333333334,0.9,0.8352454304695129
4,0.11324041709303857,0.11324041709303857,0.0036381349133711776,0.0002,0.9,0.8774054050445557
5,0.10840425019462904,0.10840425019462904,0.0021698998912586236,0.0002666666666666667,0.9,0.8826515674591064
6,0.10732119188954434,0.10732119188954434,0.0025746682976449456,0.0003333333333333333,0.9,0.8838095664978027
7,0.10653488493214051,0.10653488493214051,0.002370882950917915,0.0004,0.9,0.8846815824508667
8,0.10565689206123353,0.10565689206123353,0.0030771705041929016,0.00046666666666666666,0.9,0.8855993747711182
9,0.10375908203423023,0.10375908203423023,0.002269217459590939,0.0005333333333333334,0.9,0.8876916766166687
10,0.10177012222508589,0.10177012222508589,0.0019758642072795823,0.0006,0.9,0.8898323178291321
11,0.1013395165403684,0.1013395165403684,0.0018125759186589565,0.0006666666666666666,0.9,0.8903086185455322
12,0.10242994874715805,0.10242994874715805,0.0027669215692287734,0.0007333333333333333,0.9,0.8890984654426575
13,0.10162673642237981,0.10162673642237981,0.0014460405268769425,0.0008,0.9,0.889970600605011
14,0.10112466166416804,0.10112466166416804,0.0024550484289105135,0.0008666666666666667,0.9,0.8905436396598816
15,0.10088229800264042,0.10088229800264042,0.0019519140153725504,0.0009333333333333333,0.9,0.8907900452613831
16,0.10144521947950125,0.10144521947950125,0.002039251513012987,0.001,0.9,0.8901913166046143
17,0.10012518148869275,0.10012518148869275,0.002843765068852342,0.0009996585300715115,0.9,0.8915913701057434
18,0.09974013455212118,0.09974013455212118,0.0021190795403342746,0.0009986345866928941,0.9,0.8920320272445679
19,0.10024989706774554,0.10024989706774554,0.0022859436888630303,0.000996929568447637,0.9,0.8914791941642761
20,0.09978915316363177,0.09978915316363177,0.0020403205223603824,0.000994545804185573,0.9,0.8919780850410461
21,0.09976241054634254,0.09976241054634254,0.0022703925088423354,0.000991486549841951,0.9,0.8919899463653564
22,0.09974225020656982,0.09974225020656982,0.002149131983203959,0.0009877559839902184,0.9,0.89200758934021
